RequisitionNumber, OntologyConstruction, PropertiesMatching, IndexSearch, JsonLD
1,55,85,68,20
2,40,25,10,8
3,31,45,28,6
4,58,53,24,7
5,38,22,11,5
6,23,15,7,11
7,25,15,7,3
8,18,14,6,4
9,48,54,27,2
10,31,10,0,9
11,19,7,0,7
12,15,9,0,5
13,19,14,7,6
14,15,13,5,2
15,15,12,3,3
16,12,8,1,2
17,26,10,4,3
18,14,16,9,2
19,11,47,39,2
20,10,10,4,2
21,11,10,4,3
22,24,9,1,3
23,12,10,3,3
24,13,8,3,2
25,13,11,6,3
26,12,15,7,4
27,12,18,10,3
28,46,12,5,6
29,15,13,6,3
30,18,10,2,3
31,16,13,5,5
32,12,19,5,4
33,9,14,6,3
34,13,11,4,2
35,27,91,12,10
36,9,7,1,2
37,12,13,6,1
38,9,10,3,2
39,40,14,9,2
40,8,9,2,3
41,16,47,5,3
42,15,20,9,3
43,24,12,5,8
44,26,16,7,2
45,10,10,5,2
46,14,12,7,4
47,22,46,9,2
48,45,27,21,3
49,29,16,8,2
50,11,8,3,4
51,8,10,5,3
52,10,12,6,1
53,11,12,6,2
54,13,11,6,2
55,15,44,20,2
56,18,145,5,4
57,58,13,7,5
58,8,9,3,1
59,9,8,4,2
60,14,8,3,2
61,21,19,10,3
62,19,6,0,3
63,15,12,6,2
64,17,15,5,4
65,69,11,6,2
66,8,73,7,2
67,8,13,9,1
68,11,16,8,2
69,7,11,6,4
70,11,10,4,2
71,9,9,4,3
72,9,14,8,1
73,11,22,13,4
74,14,22,12,3
75,66,11,3,3
76,11,13,6,2
77,23,19,11,2
78,13,13,5,2
79,12,12,6,2
80,15,27,12,2
81,24,13,6,3
82,17,16,7,4
83,31,11,4,4
84,17,13,6,6
85,11,20,9,2
86,8,11,7,1
87,11,13,7,2
88,11,6,0,2
89,10,9,4,1
90,9,41,36,1
91,8,9,5,1
92,7,8,4,1
93,7,8,3,1
94,7,9,4,2
95,10,10,5,2
96,9,11,6,2
97,10,9,4,2
98,10,8,3,3
99,13,22,9,1
100,9,18,9,3
