RequisitionNumber, OntologyConstruction, PropertiesMatching, IndexSearch, JsonLD
1,51,73,57,10
2,46,70,40,8
3,36,21,10,7
4,61,37,17,6
5,37,23,10,4
6,76,39,16,4
7,22,21,10,16
8,40,11,4,3
9,11,10,3,1
10,36,16,7,2
11,12,11,5,2
12,19,13,4,3
13,16,11,3,3
14,28,14,5,3
15,11,11,4,2
16,12,10,4,1
17,12,10,5,3
18,11,9,4,2
19,9,11,6,2
20,24,12,6,3
21,11,12,6,2
22,29,359,7,3
23,11,18,11,2
24,12,12,6,4
25,10,10,4,2
26,10,7,2,1
27,10,8,3,2
28,12,7,2,12
29,20,11,4,3
30,16,11,5,3
31,10,9,4,2
32,13,9,4,3
33,15,24,13,3
34,11,8,2,2
35,11,5,0,3
36,12,15,7,2
37,15,17,4,2
38,9,8,2,2
39,12,12,5,1
40,12,10,4,2
41,12,11,6,1
42,16,27,8,4
43,19,48,11,5
44,33,109,18,3
45,21,13,7,2
46,9,7,2,1
47,16,14,6,3
48,42,11,5,4
49,11,12,3,42
50,9,13,8,1
51,10,84,7,2
52,10,9,4,3
53,8,53,2,2
54,8,11,5,2
55,11,16,4,2
56,26,17,8,2
57,36,16,7,3
58,9,8,4,1
59,10,13,7,2
60,11,11,5,1
61,13,11,5,1
62,13,20,6,6
63,16,16,8,2
64,38,24,9,23
65,12,10,4,2
66,13,23,17,1
67,13,20,10,2
68,13,13,5,3
69,10,11,5,2
70,23,13,6,2
71,14,24,8,2
72,9,21,15,1
73,7,15,11,2
74,7,10,5,1
75,7,8,3,2
76,9,10,4,2
77,8,11,6,2
78,8,11,5,2
79,13,19,11,2
80,15,9,2,9
81,10,7,1,2
82,8,12,8,2
83,8,11,5,2
84,12,12,5,2
85,11,11,2,2
86,11,7,0,2
87,19,15,6,2
88,20,17,7,2
89,10,10,5,2
90,10,10,5,1
91,8,8,3,1
92,11,13,5,2
93,9,10,5,1
94,9,13,5,1
95,24,10,3,1
96,24,20,10,12
97,10,12,5,2
98,10,10,4,2
99,9,6,1,1
100,20,17,7,2
