RequisitionNumber, ElapsedTime, totalCorrectEquivProps, totalEquivalentProperties, totalRelevantProps, Precision, Recall, FMeasure
1,329,8,20,9,0.4,0.8888888888888888,0.5517241379310346
2,398,7,20,9,0.35,0.7777777777777778,0.48275862068965514
3,128,7,20,9,0.35,0.7777777777777778,0.48275862068965514
4,206,7,17,9,0.4117647058823529,0.7777777777777778,0.5384615384615384
5,128,7,13,9,0.5384615384615384,0.7777777777777778,0.6363636363636364
6,282,8,18,9,0.4444444444444444,0.8888888888888888,0.5925925925925926
7,155,8,18,9,0.4444444444444444,0.8888888888888888,0.5925925925925926
8,116,7,15,9,0.4666666666666667,0.7777777777777778,0.5833333333333334
9,66,7,15,9,0.4666666666666667,0.7777777777777778,0.5833333333333334
10,105,7,15,9,0.4666666666666667,0.7777777777777778,0.5833333333333334
11,66,7,15,9,0.4666666666666667,0.7777777777777778,0.5833333333333334
12,87,7,15,9,0.4666666666666667,0.7777777777777778,0.5833333333333334
13,85,7,15,9,0.4666666666666667,0.7777777777777778,0.5833333333333334
14,118,7,15,9,0.4666666666666667,0.7777777777777778,0.5833333333333334
15,73,7,16,9,0.4375,0.7777777777777778,0.56
16,64,7,16,9,0.4375,0.7777777777777778,0.56
17,69,7,16,9,0.4375,0.7777777777777778,0.56
18,64,8,18,9,0.4444444444444444,0.8888888888888888,0.5925925925925926
19,61,8,18,9,0.4444444444444444,0.8888888888888888,0.5925925925925926
20,85,8,18,9,0.4444444444444444,0.8888888888888888,0.5925925925925926
21,74,8,18,9,0.4444444444444444,0.8888888888888888,0.5925925925925926
22,456,8,18,9,0.4444444444444444,0.8888888888888888,0.5925925925925926
23,104,8,18,9,0.4444444444444444,0.8888888888888888,0.5925925925925926
24,72,8,17,9,0.47058823529411764,0.8888888888888888,0.6153846153846153
25,63,8,17,9,0.47058823529411764,0.8888888888888888,0.6153846153846153
26,57,8,17,9,0.47058823529411764,0.8888888888888888,0.6153846153846153
27,60,8,17,9,0.47058823529411764,0.8888888888888888,0.6153846153846153
28,70,8,17,9,0.47058823529411764,0.8888888888888888,0.6153846153846153
29,143,8,17,9,0.47058823529411764,0.8888888888888888,0.6153846153846153
30,112,7,14,9,0.5,0.7777777777777778,0.6086956521739131
31,78,7,15,9,0.4666666666666667,0.7777777777777778,0.5833333333333334
32,75,7,14,9,0.5,0.7777777777777778,0.6086956521739131
33,176,7,14,9,0.5,0.7777777777777778,0.6086956521739131
34,77,7,14,9,0.5,0.7777777777777778,0.6086956521739131
35,67,7,14,9,0.5,0.7777777777777778,0.6086956521739131
36,76,7,14,9,0.5,0.7777777777777778,0.6086956521739131
37,103,7,14,9,0.5,0.7777777777777778,0.6086956521739131
38,58,7,14,9,0.5,0.7777777777777778,0.6086956521739131
39,69,8,16,9,0.5,0.8888888888888888,0.64
40,76,8,16,9,0.5,0.8888888888888888,0.64
41,63,8,16,9,0.5,0.8888888888888888,0.64
42,129,8,16,9,0.5,0.8888888888888888,0.64
43,144,8,16,9,0.5,0.8888888888888888,0.64
44,212,8,16,9,0.5,0.8888888888888888,0.64
45,87,8,16,9,0.5,0.8888888888888888,0.64
46,57,8,16,9,0.5,0.8888888888888888,0.64
47,100,8,17,9,0.47058823529411764,0.8888888888888888,0.6153846153846153
48,110,7,15,9,0.4666666666666667,0.7777777777777778,0.5833333333333334
49,149,7,15,9,0.4666666666666667,0.7777777777777778,0.5833333333333334
50,84,7,15,9,0.4666666666666667,0.7777777777777778,0.5833333333333334
51,132,7,14,9,0.5,0.7777777777777778,0.6086956521739131
52,64,8,17,9,0.47058823529411764,0.8888888888888888,0.6153846153846153
53,115,8,17,9,0.47058823529411764,0.8888888888888888,0.6153846153846153
54,58,8,17,9,0.47058823529411764,0.8888888888888888,0.6153846153846153
55,83,8,17,9,0.47058823529411764,0.8888888888888888,0.6153846153846153
56,113,8,17,9,0.47058823529411764,0.8888888888888888,0.6153846153846153
57,257,8,17,9,0.47058823529411764,0.8888888888888888,0.6153846153846153
58,62,8,17,9,0.47058823529411764,0.8888888888888888,0.6153846153846153
59,69,7,16,9,0.4375,0.7777777777777778,0.56
60,66,7,16,9,0.4375,0.7777777777777778,0.56
61,74,8,17,9,0.47058823529411764,0.8888888888888888,0.6153846153846153
62,108,8,17,9,0.47058823529411764,0.8888888888888888,0.6153846153846153
63,112,7,16,9,0.4375,0.7777777777777778,0.56
64,157,7,16,9,0.4375,0.7777777777777778,0.56
65,80,7,16,9,0.4375,0.7777777777777778,0.56
66,78,7,16,9,0.4375,0.7777777777777778,0.56
67,89,7,16,9,0.4375,0.7777777777777778,0.56
68,139,7,16,9,0.4375,0.7777777777777778,0.56
69,71,7,16,9,0.4375,0.7777777777777778,0.56
70,88,7,16,9,0.4375,0.7777777777777778,0.56
71,119,7,16,9,0.4375,0.7777777777777778,0.56
72,86,7,16,9,0.4375,0.7777777777777778,0.56
73,60,7,16,9,0.4375,0.7777777777777778,0.56
74,52,7,16,9,0.4375,0.7777777777777778,0.56
75,52,7,15,9,0.4666666666666667,0.7777777777777778,0.5833333333333334
76,63,7,15,9,0.4666666666666667,0.7777777777777778,0.5833333333333334
77,56,7,16,9,0.4375,0.7777777777777778,0.56
78,57,7,16,9,0.4375,0.7777777777777778,0.56
79,82,7,16,9,0.4375,0.7777777777777778,0.56
80,89,7,16,9,0.4375,0.7777777777777778,0.56
81,61,7,16,9,0.4375,0.7777777777777778,0.56
82,63,7,16,9,0.4375,0.7777777777777778,0.56
83,60,7,16,9,0.4375,0.7777777777777778,0.56
84,75,7,16,9,0.4375,0.7777777777777778,0.56
85,73,7,16,9,0.4375,0.7777777777777778,0.56
86,67,7,16,9,0.4375,0.7777777777777778,0.56
87,84,7,16,9,0.4375,0.7777777777777778,0.56
88,110,7,16,9,0.4375,0.7777777777777778,0.56
89,68,7,16,9,0.4375,0.7777777777777778,0.56
90,63,7,16,9,0.4375,0.7777777777777778,0.56
91,51,7,16,9,0.4375,0.7777777777777778,0.56
92,142,7,16,9,0.4375,0.7777777777777778,0.56
93,62,7,16,9,0.4375,0.7777777777777778,0.56
94,77,7,16,9,0.4375,0.7777777777777778,0.56
95,91,7,16,9,0.4375,0.7777777777777778,0.56
96,185,7,16,9,0.4375,0.7777777777777778,0.56
97,65,7,16,9,0.4375,0.7777777777777778,0.56
98,181,7,16,9,0.4375,0.7777777777777778,0.56
99,58,7,16,9,0.4375,0.7777777777777778,0.56
100,98,7,16,9,0.4375,0.7777777777777778,0.56
