RequisitionNumber, ElapsedTime, totalCorrectEquivProps, totalEquivalentProperties, totalRelevantProps, Precision, Recall, FMeasure
1,857,8,25,9,0.32,0.8888888888888888,0.47058823529411764
2,187,8,24,9,0.3333333333333333,0.8888888888888888,0.48484848484848486
3,158,8,25,9,0.32,0.8888888888888888,0.47058823529411764
4,166,8,23,9,0.34782608695652173,0.8888888888888888,0.5
5,369,8,23,9,0.34782608695652173,0.8888888888888888,0.5
6,254,8,23,9,0.34782608695652173,0.8888888888888888,0.5
7,98,8,23,9,0.34782608695652173,0.8888888888888888,0.5
8,95,8,23,9,0.34782608695652173,0.8888888888888888,0.5
9,138,8,23,9,0.34782608695652173,0.8888888888888888,0.5
10,256,8,23,9,0.34782608695652173,0.8888888888888888,0.5
11,270,7,22,9,0.3181818181818182,0.7777777777777778,0.45161290322580644
12,219,7,22,9,0.3181818181818182,0.7777777777777778,0.45161290322580644
13,234,7,22,9,0.3181818181818182,0.7777777777777778,0.45161290322580644
14,187,7,23,9,0.30434782608695654,0.7777777777777778,0.43750000000000006
15,120,8,24,9,0.3333333333333333,0.8888888888888888,0.48484848484848486
16,160,7,22,9,0.3181818181818182,0.7777777777777778,0.45161290322580644
17,121,7,22,9,0.3181818181818182,0.7777777777777778,0.45161290322580644
18,157,7,20,9,0.35,0.7777777777777778,0.48275862068965514
19,117,7,20,9,0.35,0.7777777777777778,0.48275862068965514
20,113,7,20,9,0.35,0.7777777777777778,0.48275862068965514
21,106,7,20,9,0.35,0.7777777777777778,0.48275862068965514
22,138,7,20,9,0.35,0.7777777777777778,0.48275862068965514
23,85,7,20,9,0.35,0.7777777777777778,0.48275862068965514
24,109,7,20,9,0.35,0.7777777777777778,0.48275862068965514
25,103,7,20,9,0.35,0.7777777777777778,0.48275862068965514
26,101,6,17,9,0.35294117647058826,0.6666666666666666,0.46153846153846156
27,134,6,16,9,0.375,0.6666666666666666,0.4800000000000001
28,120,6,14,9,0.42857142857142855,0.6666666666666666,0.5217391304347826
29,86,6,15,9,0.4,0.6666666666666666,0.5
30,136,6,15,9,0.4,0.6666666666666666,0.5
31,111,6,15,9,0.4,0.6666666666666666,0.5
32,102,6,15,9,0.4,0.6666666666666666,0.5
33,225,7,16,9,0.4375,0.7777777777777778,0.56
34,147,7,16,9,0.4375,0.7777777777777778,0.56
35,91,7,16,9,0.4375,0.7777777777777778,0.56
36,81,6,14,9,0.42857142857142855,0.6666666666666666,0.5217391304347826
37,93,6,14,9,0.42857142857142855,0.6666666666666666,0.5217391304347826
38,71,7,16,9,0.4375,0.7777777777777778,0.56
39,104,8,18,9,0.4444444444444444,0.8888888888888888,0.5925925925925926
40,90,8,18,9,0.4444444444444444,0.8888888888888888,0.5925925925925926
41,170,8,18,9,0.4444444444444444,0.8888888888888888,0.5925925925925926
42,90,8,18,9,0.4444444444444444,0.8888888888888888,0.5925925925925926
43,91,7,17,9,0.4117647058823529,0.7777777777777778,0.5384615384615384
44,131,8,18,9,0.4444444444444444,0.8888888888888888,0.5925925925925926
45,134,8,18,9,0.4444444444444444,0.8888888888888888,0.5925925925925926
46,78,8,18,9,0.4444444444444444,0.8888888888888888,0.5925925925925926
47,118,8,18,9,0.4444444444444444,0.8888888888888888,0.5925925925925926
48,167,8,18,9,0.4444444444444444,0.8888888888888888,0.5925925925925926
49,184,8,18,9,0.4444444444444444,0.8888888888888888,0.5925925925925926
50,77,8,18,9,0.4444444444444444,0.8888888888888888,0.5925925925925926
51,91,8,18,9,0.4444444444444444,0.8888888888888888,0.5925925925925926
52,79,8,18,9,0.4444444444444444,0.8888888888888888,0.5925925925925926
53,77,8,18,9,0.4444444444444444,0.8888888888888888,0.5925925925925926
54,110,8,16,9,0.5,0.8888888888888888,0.64
55,130,8,16,9,0.5,0.8888888888888888,0.64
56,142,8,16,9,0.5,0.8888888888888888,0.64
57,88,8,16,9,0.5,0.8888888888888888,0.64
58,156,8,16,9,0.5,0.8888888888888888,0.64
59,192,8,16,9,0.5,0.8888888888888888,0.64
60,153,8,16,9,0.5,0.8888888888888888,0.64
61,117,8,16,9,0.5,0.8888888888888888,0.64
62,71,8,16,9,0.5,0.8888888888888888,0.64
63,109,8,16,9,0.5,0.8888888888888888,0.64
64,301,8,16,9,0.5,0.8888888888888888,0.64
65,72,8,16,9,0.5,0.8888888888888888,0.64
66,131,8,16,9,0.5,0.8888888888888888,0.64
67,171,8,16,9,0.5,0.8888888888888888,0.64
68,104,8,16,9,0.5,0.8888888888888888,0.64
69,95,8,16,9,0.5,0.8888888888888888,0.64
70,81,8,16,9,0.5,0.8888888888888888,0.64
