Splitted by tab
	AVERAGE				STANDARD_DEVIATION				CONFIDENCE INTERVAL 95%			
RequisitionNumber	ElapsedTime	 Precision	 Recall	 FMeasure	ElapsedTime	 Precision	 Recall	 FMeasure	ElapsedTime	 Precision	 Recall	 FMeasure
0	314.142857	0.356757	0.888889	0.506801	42.437950	0.038229	0.059391	0.032868	31.437896	0.028320	0.043997	0.024349
1	153.571429	0.321265	0.904762	0.473614	34.886990	0.014601	0.038881	0.013454	25.844169	0.010816	0.028803	0.009966
2	177.714286	0.322363	0.888889	0.472986	36.714008	0.013180	0.000000	0.014090	27.197618	0.009763	0.000000	0.010438
3	174.285714	0.322836	0.888889	0.472905	39.401647	0.017303	0.059391	0.019224	29.188612	0.012818	0.043997	0.014241
4	192.428571	0.315104	0.904762	0.467189	92.507694	0.005712	0.038881	0.006439	68.529400	0.004232	0.028803	0.004770
5	223.857143	0.312247	0.920635	0.465896	189.673726	0.007323	0.050195	0.006535	140.509681	0.005425	0.037184	0.004841
6	120.571429	0.315104	0.904762	0.467189	32.350125	0.005712	0.038881	0.006439	23.964868	0.004232	0.028803	0.004770
7	94.000000	0.312111	0.904762	0.463775	8.552360	0.013700	0.038881	0.015609	6.335560	0.010149	0.028803	0.011563
8	98.142857	0.315847	0.920635	0.470018	14.277140	0.018177	0.050195	0.023717	10.576459	0.013465	0.037184	0.017570
9	116.428571	0.319437	0.936508	0.476020	52.232604	0.016035	0.054986	0.021355	38.693743	0.011879	0.040733	0.015820
10	123.857143	0.315774	0.920635	0.469898	39.043670	0.015356	0.050195	0.019681	28.923424	0.011376	0.037184	0.014579
11	172.142857	0.314016	0.920635	0.467977	116.213386	0.015476	0.050195	0.020170	86.090499	0.011465	0.037184	0.014942
12	141.714286	0.312388	0.920635	0.466163	32.007652	0.016613	0.050195	0.021584	23.711165	0.012307	0.037184	0.015989
13	179.428571	0.310483	0.904762	0.461961	148.582692	0.014764	0.038881	0.016954	110.069576	0.010937	0.028803	0.012560
14	97.000000	0.308127	0.920635	0.461042	35.924524	0.017282	0.050195	0.018376	26.612771	0.012802	0.037184	0.013613
15	84.714286	0.305659	0.904762	0.456582	17.433255	0.016599	0.038881	0.019737	12.914498	0.012297	0.028803	0.014621
16	106.142857	0.304181	0.904762	0.454847	41.058942	0.016577	0.038881	0.018662	30.416331	0.012280	0.028803	0.013825
17	100.857143	0.302423	0.904762	0.452927	26.492201	0.015418	0.038881	0.017605	19.625337	0.011421	0.028803	0.013042
18	143.857143	0.304181	0.904762	0.454847	45.460905	0.016577	0.038881	0.018662	33.677291	0.012280	0.028803	0.013825
19	98.571429	0.307100	0.904762	0.458189	13.720237	0.012672	0.038881	0.013763	10.163907	0.009387	0.028803	0.010195
20	144.857143	0.301894	0.888889	0.450485	120.043360	0.015555	0.000000	0.017426	88.927731	0.011523	0.000000	0.012909
21	96.285714	0.301894	0.888889	0.450485	17.152378	0.015555	0.000000	0.017426	12.706426	0.011523	0.000000	0.012909
22	96.428571	0.301894	0.888889	0.450485	20.714778	0.015555	0.000000	0.017426	15.345441	0.011523	0.000000	0.012909
23	90.000000	0.303652	0.888889	0.452405	21.017000	0.016760	0.000000	0.018745	15.569325	0.012416	0.000000	0.013886
24	93.428571	0.303652	0.888889	0.452405	30.751804	0.016760	0.000000	0.018745	22.780837	0.012416	0.000000	0.013886
25	81.142857	0.303652	0.888889	0.452405	23.265109	0.016760	0.000000	0.018745	17.234717	0.012416	0.000000	0.013886
26	98.428571	0.303652	0.888889	0.452405	45.248069	0.016760	0.000000	0.018745	33.519623	0.012416	0.000000	0.013886
27	90.857143	0.300512	0.888889	0.448875	21.826776	0.017739	0.000000	0.019816	16.169205	0.013141	0.000000	0.014680
28	122.857143	0.294804	0.888889	0.442321	39.378851	0.021478	0.000000	0.024388	29.171725	0.015911	0.000000	0.018067
29	119.142857	0.294804	0.888889	0.442321	30.544715	0.021478	0.000000	0.024388	22.627425	0.015911	0.000000	0.018067
30	110.142857	0.288499	0.888889	0.435245	34.630410	0.019548	0.000000	0.022253	25.654095	0.014481	0.000000	0.016485
31	107.571429	0.288499	0.888889	0.435245	38.744058	0.019548	0.000000	0.022253	28.701473	0.014481	0.000000	0.016485
32	117.857143	0.288499	0.888889	0.435245	24.456542	0.019548	0.000000	0.022253	18.117327	0.014481	0.000000	0.016485
33	103.428571	0.288499	0.888889	0.435245	59.646236	0.019548	0.000000	0.022253	44.185738	0.014481	0.000000	0.016485
34	78.428571	0.288499	0.888889	0.435245	20.324912	0.019548	0.000000	0.022253	15.056629	0.014481	0.000000	0.016485
35	88.571429	0.291639	0.888889	0.438775	12.904674	0.020586	0.000000	0.023454	9.559741	0.015250	0.000000	0.017375
36	98.857143	0.291885	0.888889	0.438980	43.304334	0.022444	0.000000	0.025448	32.079710	0.016626	0.000000	0.018852
37	100.714286	0.288975	0.888889	0.435665	29.251199	0.022478	0.000000	0.025754	21.669193	0.016652	0.000000	0.019078
38	85.142857	0.290486	0.888889	0.437381	15.941219	0.022564	0.000000	0.025881	11.809203	0.016715	0.000000	0.019173
39	99.714286	0.290486	0.888889	0.437381	36.647800	0.022564	0.000000	0.025881	27.148571	0.016715	0.000000	0.019173
40	125.428571	0.288858	0.888889	0.435567	63.605609	0.021656	0.000000	0.024857	47.118829	0.016043	0.000000	0.018414
41	110.571429	0.288858	0.888889	0.435567	39.434782	0.021656	0.000000	0.024857	29.213159	0.016043	0.000000	0.018414
