RequisitionNumber, OntologyConstruction, PropertiesMatching, IndexSearch, JsonLD
1,55,91,74,10
2,40,47,31,9
3,35,30,18,5
4,51,25,13,14
5,61,37,16,23
6,25,13,5,4
7,31,37,22,6
8,33,21,11,5
9,20,25,15,6
10,32,38,14,12
11,38,19,9,5
12,18,22,11,3
13,18,13,5,7
14,36,17,7,7
15,31,372,18,5
16,21,14,5,2
17,17,24,12,5
18,14,8,3,2
19,13,11,5,3
20,12,10,4,6
21,14,18,10,3
22,25,14,8,13
23,11,12,6,2
24,13,26,3,3
25,14,21,10,3
26,15,26,15,5
27,10,11,5,4
28,18,42,14,6
29,16,18,9,5
30,34,9,4,3
31,12,12,4,2
32,13,13,6,6
33,15,5,0,5
34,16,19,12,2
35,14,15,8,3
36,20,18,6,3
37,15,17,9,2
38,10,13,8,2
39,11,14,6,2
40,20,11,5,11
41,17,26,12,5
42,43,13,6,4
43,29,24,9,4
44,10,10,5,2
45,12,9,5,2
46,12,12,7,5
47,11,20,12,3
48,13,10,4,3
49,39,19,10,3
50,40,14,6,3
51,11,17,11,4
52,10,8,3,2
53,12,9,4,2
54,10,6,1,2
55,12,9,4,3
56,14,11,5,2
57,18,20,7,2
58,12,12,5,2
59,16,21,10,3
60,15,21,10,2
61,22,23,14,5
62,31,20,7,6
63,27,31,11,3
64,16,19,9,8
65,18,22,10,5
66,12,12,7,3
67,12,9,3,5
68,9,9,4,2
69,11,8,4,2
70,17,12,6,2
71,11,8,2,2
72,10,12,7,2
73,15,12,4,6
74,9,12,5,3
75,9,13,5,2
76,12,25,15,2
77,12,11,4,2
78,12,12,5,2
79,27,28,9,4
80,21,18,8,2
81,17,17,9,2
82,34,18,6,4
83,14,40,27,31
84,22,81,7,8
85,17,20,10,25
86,23,8,0,2
87,10,11,3,2
88,9,8,3,3
89,11,11,5,2
90,8,10,4,1
91,29,9,4,2
92,9,11,4,1
93,9,8,2,1
94,9,13,6,1
95,13,16,10,1
96,56,18,9,3
97,11,13,8,2
98,10,12,7,3
99,11,14,5,2
100,7,23,6,2
