RequisitionNumber, ElapsedTime, totalCorrectEquivProps, totalEquivalentProperties, totalRelevantProps, Precision, Recall, FMeasure
1,22,8,25,9,0.32,0.8888888888888888,0.47058823529411764
2,22,8,22,9,0.36363636363636365,0.8888888888888888,0.5161290322580644
3,18,8,21,9,0.38095238095238093,0.8888888888888888,0.5333333333333333
4,23,8,18,9,0.4444444444444444,0.8888888888888888,0.5925925925925926
5,16,8,18,9,0.4444444444444444,0.8888888888888888,0.5925925925925926
6,27,8,18,9,0.4444444444444444,0.8888888888888888,0.5925925925925926
7,23,8,17,9,0.47058823529411764,0.8888888888888888,0.6153846153846153
8,22,8,18,9,0.4444444444444444,0.8888888888888888,0.5925925925925926
9,16,8,17,9,0.47058823529411764,0.8888888888888888,0.6153846153846153
10,21,8,17,9,0.47058823529411764,0.8888888888888888,0.6153846153846153
11,8,8,17,9,0.47058823529411764,0.8888888888888888,0.6153846153846153
12,22,8,17,9,0.47058823529411764,0.8888888888888888,0.6153846153846153
13,24,8,15,9,0.5333333333333333,0.8888888888888888,0.6666666666666667
14,19,8,15,9,0.5333333333333333,0.8888888888888888,0.6666666666666667
15,16,8,15,9,0.5333333333333333,0.8888888888888888,0.6666666666666667
16,24,8,15,9,0.5333333333333333,0.8888888888888888,0.6666666666666667
17,33,8,14,9,0.5714285714285714,0.8888888888888888,0.6956521739130435
18,21,8,16,9,0.5,0.8888888888888888,0.64
19,20,8,16,9,0.5,0.8888888888888888,0.64
20,24,8,14,9,0.5714285714285714,0.8888888888888888,0.6956521739130435
21,21,8,14,9,0.5714285714285714,0.8888888888888888,0.6956521739130435
22,20,8,16,9,0.5,0.8888888888888888,0.64
23,19,8,16,9,0.5,0.8888888888888888,0.64
24,20,8,15,9,0.5333333333333333,0.8888888888888888,0.6666666666666667
25,19,8,15,9,0.5333333333333333,0.8888888888888888,0.6666666666666667
26,15,8,16,9,0.5,0.8888888888888888,0.64
27,28,8,16,9,0.5,0.8888888888888888,0.64
28,19,8,16,9,0.5,0.8888888888888888,0.64
29,10,8,16,9,0.5,0.8888888888888888,0.64
30,6,8,16,9,0.5,0.8888888888888888,0.64
31,24,8,16,9,0.5,0.8888888888888888,0.64
32,22,8,16,9,0.5,0.8888888888888888,0.64
33,21,8,15,9,0.5333333333333333,0.8888888888888888,0.6666666666666667
34,25,8,15,9,0.5333333333333333,0.8888888888888888,0.6666666666666667
35,19,8,15,9,0.5333333333333333,0.8888888888888888,0.6666666666666667
36,17,8,16,9,0.5,0.8888888888888888,0.64
37,12,8,15,9,0.5333333333333333,0.8888888888888888,0.6666666666666667
38,24,8,15,9,0.5333333333333333,0.8888888888888888,0.6666666666666667
39,7,8,15,9,0.5333333333333333,0.8888888888888888,0.6666666666666667
40,14,8,15,9,0.5333333333333333,0.8888888888888888,0.6666666666666667
41,18,8,15,9,0.5333333333333333,0.8888888888888888,0.6666666666666667
42,15,8,15,9,0.5333333333333333,0.8888888888888888,0.6666666666666667
43,16,8,15,9,0.5333333333333333,0.8888888888888888,0.6666666666666667
44,11,8,15,9,0.5333333333333333,0.8888888888888888,0.6666666666666667
45,24,8,15,9,0.5333333333333333,0.8888888888888888,0.6666666666666667
46,22,8,15,9,0.5333333333333333,0.8888888888888888,0.6666666666666667
47,22,8,15,9,0.5333333333333333,0.8888888888888888,0.6666666666666667
48,0,8,15,9,0.5333333333333333,0.8888888888888888,0.6666666666666667
49,25,8,15,9,0.5333333333333333,0.8888888888888888,0.6666666666666667
50,19,8,15,9,0.5333333333333333,0.8888888888888888,0.6666666666666667
51,21,8,15,9,0.5333333333333333,0.8888888888888888,0.6666666666666667
52,16,8,15,9,0.5333333333333333,0.8888888888888888,0.6666666666666667
53,21,8,15,9,0.5333333333333333,0.8888888888888888,0.6666666666666667
54,19,8,15,9,0.5333333333333333,0.8888888888888888,0.6666666666666667
55,9,8,15,9,0.5333333333333333,0.8888888888888888,0.6666666666666667
56,0,8,15,9,0.5333333333333333,0.8888888888888888,0.6666666666666667
57,18,8,15,9,0.5333333333333333,0.8888888888888888,0.6666666666666667
58,16,8,15,9,0.5333333333333333,0.8888888888888888,0.6666666666666667
59,14,8,15,9,0.5333333333333333,0.8888888888888888,0.6666666666666667
60,18,8,15,9,0.5333333333333333,0.8888888888888888,0.6666666666666667
61,15,8,15,9,0.5333333333333333,0.8888888888888888,0.6666666666666667
62,18,8,15,9,0.5333333333333333,0.8888888888888888,0.6666666666666667
63,15,8,15,9,0.5333333333333333,0.8888888888888888,0.6666666666666667
64,21,8,15,9,0.5333333333333333,0.8888888888888888,0.6666666666666667
65,17,8,15,9,0.5333333333333333,0.8888888888888888,0.6666666666666667
66,21,8,15,9,0.5333333333333333,0.8888888888888888,0.6666666666666667
67,23,8,15,9,0.5333333333333333,0.8888888888888888,0.6666666666666667
68,17,8,15,9,0.5333333333333333,0.8888888888888888,0.6666666666666667
69,19,8,14,9,0.5714285714285714,0.8888888888888888,0.6956521739130435
70,19,8,14,9,0.5714285714285714,0.8888888888888888,0.6956521739130435
71,15,8,13,9,0.6153846153846154,0.8888888888888888,0.7272727272727274
72,16,8,13,9,0.6153846153846154,0.8888888888888888,0.7272727272727274
73,7,8,14,9,0.5714285714285714,0.8888888888888888,0.6956521739130435
74,22,8,14,9,0.5714285714285714,0.8888888888888888,0.6956521739130435
75,17,8,15,9,0.5333333333333333,0.8888888888888888,0.6666666666666667
76,18,8,13,9,0.6153846153846154,0.8888888888888888,0.7272727272727274
77,16,8,13,9,0.6153846153846154,0.8888888888888888,0.7272727272727274
78,15,8,14,9,0.5714285714285714,0.8888888888888888,0.6956521739130435
79,23,8,14,9,0.5714285714285714,0.8888888888888888,0.6956521739130435
80,19,8,13,9,0.6153846153846154,0.8888888888888888,0.7272727272727274
81,15,8,12,9,0.6666666666666666,0.8888888888888888,0.761904761904762
82,17,8,12,9,0.6666666666666666,0.8888888888888888,0.761904761904762
83,14,8,12,9,0.6666666666666666,0.8888888888888888,0.761904761904762
84,22,8,12,9,0.6666666666666666,0.8888888888888888,0.761904761904762
85,16,8,12,9,0.6666666666666666,0.8888888888888888,0.761904761904762
86,16,8,12,9,0.6666666666666666,0.8888888888888888,0.761904761904762
87,17,8,12,9,0.6666666666666666,0.8888888888888888,0.761904761904762
88,20,8,12,9,0.6666666666666666,0.8888888888888888,0.761904761904762
89,8,8,12,9,0.6666666666666666,0.8888888888888888,0.761904761904762
90,8,8,12,9,0.6666666666666666,0.8888888888888888,0.761904761904762
91,23,8,12,9,0.6666666666666666,0.8888888888888888,0.761904761904762
92,15,8,13,9,0.6153846153846154,0.8888888888888888,0.7272727272727274
93,20,8,13,9,0.6153846153846154,0.8888888888888888,0.7272727272727274
94,19,8,12,9,0.6666666666666666,0.8888888888888888,0.761904761904762
95,21,8,12,9,0.6666666666666666,0.8888888888888888,0.761904761904762
96,20,8,12,9,0.6666666666666666,0.8888888888888888,0.761904761904762
97,20,8,12,9,0.6666666666666666,0.8888888888888888,0.761904761904762
98,20,8,12,9,0.6666666666666666,0.8888888888888888,0.761904761904762
99,22,8,13,9,0.6153846153846154,0.8888888888888888,0.7272727272727274
100,8,8,13,9,0.6153846153846154,0.8888888888888888,0.7272727272727274
