	AVERAGE				STANDARD_DEVIATION				CONFIDENCE INTERVAL 95%			
RequisitionNumber	ElapsedTime	 Precision	 Recall	 FMeasure	ElapsedTime	 Precision	 Recall	 FMeasure	ElapsedTime	 Precision	 Recall	 FMeasure
0	20.714286	0.357892	0.857143	0.502601	5.006119	0.035326	0.050195	0.028639	3.708516	0.026169	0.037184	0.021216
1	18.285714	0.417165	0.841270	0.550260	3.730733	0.072019	0.100390	0.059229	2.763715	0.053351	0.074368	0.043876
2	15.428571	0.423020	0.825397	0.555239	6.737043	0.050411	0.080937	0.040150	4.990780	0.037345	0.059958	0.029743
3	18.000000	0.434754	0.777778	0.554697	5.014265	0.049525	0.083992	0.044850	3.714552	0.036688	0.062221	0.033224
4	19.000000	0.440248	0.777778	0.558407	4.535574	0.054113	0.083992	0.045006	3.359938	0.040087	0.062221	0.033340
5	16.428571	0.465185	0.809524	0.584068	8.957952	0.068840	0.077762	0.044832	6.636022	0.050996	0.057606	0.033212
6	15.142857	0.476780	0.809524	0.594758	10.105565	0.057423	0.097848	0.046419	7.486170	0.042539	0.072485	0.034387
7	16.714286	0.495435	0.809524	0.610946	8.875557	0.049130	0.097848	0.047218	6.574984	0.036396	0.072485	0.034979
8	19.285714	0.495683	0.825397	0.615858	3.614032	0.042061	0.080937	0.032728	2.677263	0.031159	0.059958	0.024245
9	16.142857	0.495683	0.825397	0.615858	7.434064	0.042061	0.080937	0.032728	5.507130	0.031159	0.059958	0.024245
10	18.857143	0.500410	0.841270	0.623770	5.303060	0.036785	0.080937	0.023724	3.928490	0.027250	0.059958	0.017575
11	12.857143	0.523341	0.825397	0.635419	6.057547	0.050988	0.080937	0.029035	4.487411	0.037772	0.059958	0.021509
12	17.857143	0.532304	0.825397	0.642745	6.311635	0.046219	0.080937	0.029521	4.675639	0.034239	0.059958	0.021869
13	20.142857	0.544994	0.825397	0.651592	3.795809	0.055759	0.080937	0.038600	2.811923	0.041306	0.059958	0.028595
14	18.000000	0.545218	0.809524	0.647480	5.154748	0.059385	0.077762	0.047706	3.818621	0.043992	0.057606	0.035340
15	15.571429	0.538808	0.809524	0.643151	7.148569	0.057310	0.077762	0.047140	5.295637	0.042455	0.057606	0.034921
16	16.285714	0.538714	0.825397	0.647074	9.542601	0.049615	0.080937	0.030474	7.069127	0.036755	0.059958	0.022575
17	19.857143	0.538531	0.841270	0.651923	2.415934	0.056806	0.080937	0.041490	1.789716	0.042082	0.059958	0.030736
18	9.857143	0.544811	0.841270	0.656440	6.127889	0.062263	0.080937	0.047318	4.539520	0.046124	0.059958	0.035053
19	16.857143	0.559777	0.841270	0.668200	4.672979	0.056560	0.080937	0.047519	3.461728	0.041900	0.059958	0.035202
20	15.428571	0.558096	0.825397	0.662421	5.421047	0.039586	0.080937	0.032012	4.015894	0.029325	0.059958	0.023715
21	18.000000	0.575655	0.841270	0.681036	4.174754	0.054699	0.054986	0.040010	3.092644	0.040521	0.040733	0.029639
22	17.714286	0.565451	0.841270	0.673086	2.762726	0.060852	0.054986	0.041805	2.046618	0.045079	0.040733	0.030969
23	15.000000	0.573274	0.857143	0.684846	4.659859	0.051691	0.050195	0.037084	3.452008	0.038292	0.037184	0.027472
24	14.285714	0.580417	0.841270	0.684846	3.452299	0.049066	0.054986	0.037084	2.557452	0.036348	0.040733	0.027472
25	12.714286	0.583231	0.841270	0.685798	3.103652	0.058759	0.054986	0.040000	2.299175	0.043529	0.040733	0.029632
26	20.285714	0.578036	0.825397	0.676024	5.598834	0.055340	0.080937	0.043539	4.147598	0.040996	0.059958	0.032253
27	19.285714	0.577789	0.841270	0.681657	2.547508	0.061309	0.054986	0.040265	1.887185	0.045418	0.040733	0.029828
28	15.142857	0.580234	0.857143	0.689694	3.356383	0.056463	0.050195	0.042447	2.486398	0.041827	0.037184	0.031444
29	12.857143	0.587560	0.857143	0.694642	6.243364	0.063444	0.050195	0.048171	4.625064	0.046999	0.037184	0.035685
30	17.142857	0.585676	0.857143	0.693835	4.189394	0.053435	0.050195	0.041399	3.103489	0.039584	0.037184	0.030669
31	15.857143	0.582184	0.841270	0.685368	8.339725	0.052274	0.054986	0.035355	6.178042	0.038724	0.040733	0.026191
32	16.857143	0.568945	0.841270	0.676002	3.719776	0.044450	0.054986	0.021943	2.755598	0.032928	0.040733	0.016256
33	15.285714	0.591209	0.873016	0.703154	7.515969	0.065370	0.038881	0.051837	5.567806	0.048426	0.028803	0.038401
34	14.857143	0.596651	0.873016	0.707295	7.079721	0.061814	0.038881	0.049878	5.244634	0.045792	0.028803	0.036950
35	12.714286	0.591156	0.888889	0.707814	5.337583	0.068129	0.000000	0.049150	3.954064	0.050470	0.000000	0.036410
36	16.428571	0.607640	0.888889	0.720282	4.923911	0.057155	0.000000	0.040712	3.647617	0.042340	0.000000	0.030159
